LA_1st.dat,LA 1,Lakeview,1,0,0,1663094128
LA_2nd.dat,LA 2,Lakeview,1,0,0,1663094128
LA_3rd.dat,LA 3,Lakeview,1,0,0,1663094128
LA_4th.dat,LA 4,Lakeview,1,0,0,1663094128
RidgeA.dat,Ridge A,Tel Hai Skilled,1,0,0,1663094128
RidgeB.dat,Ridge B,Tel Hai Skilled,1,0,0,1663094128
RidgeC.dat,Ridge C,Tel Hai Skilled,1,0,0,1663094128
BrookA.dat,Brook A,Tel Hai Skilled,1,0,0,1663094128
BrookB.dat,Brook B,Tel Hai Skilled,1,0,0,1663094128
BrookC.dat,Brook C,Tel Hai Skilled,1,0,0,1663094128
Memory_Support.dat,LV,Meadowview,1,0,0,1663094128
MtnView_Upper.dat,MU,Mountainview Upper,1,0,0,1663094128
MtnView_Lower.dat,ML,Mountainview Lower,1,0,0,1663094128
GSV_Skilled_FC.dat,FC,GSV Skilled,1,0,0,1663094128
GSV_Skilled_WG.dat,WG,GSV Skilled,1,0,0,1663094128
GSV_Skilled_SW.dat,SW,GSV Skilled,1,0,0,1663094128
GSV_Skilled_SF.dat,SF,GSV Skilled,1,0,0,1663094128
FMT_Farmcrest.dat,FA,Farmcrest,1,0,0,1663180503
FMT_WRPC.dat,PC,WRPC,1,0,0,1663180503
FMT_NE_NF.dat,"NE, NF",FMT Skilled,1,0,0,1663180503
FMT_NG_NH.dat,"NG, NH",FMT Skilled,1,0,0,1663180503
FMT_N1.dat,N1,FMT Skilled,1,0,0,1663180503
FMT_RH.dat,RH,FMT Skilled,1,0,0,1663180503
SUNNY_SA.dat,SA,Sunny Crest,0,0,0,0
SUNNY_SB.dat,SB,Sunny Crest,0,0,0,0
SUNNY_SC.dat,SCF,Sunny Crest,0,0,0,0
SUNNY_SG.dat,SG,Sunny Crest,0,0,0,0
ACADIA_B1toB4.dat,AC B1–B4,Acadia,1,0,0,1663094128
ACADIA_B5toB8.dat,AC B5–B8,Acadia,1,0,0,1663094128
EVERGREEN_EM_EN.dat,"EM, EN",Evergreen,0,0,0,0
EVERGREEN_ES.dat,ES,Evergreen,0,0,0,0
EVERGREEN_EW.dat,EW,Evergreen,0,0,0,0
CountryView.dat,CV,Country View,0,0,0,0
Willow_View.dat,WV,Willow View,0,0,0,0
Brossman.dat,BH,Maple Farm,1,0,0,1663094128
Franzen.dat,FH,Maple Farm,1,0,0,1663094128
OUTPATIENT_P1.dat,P1,Med Packs P1,0,0,0,0
OUTPATIENT_P2.dat,P2,Med Packs P2,0,0,0,0
OUTPATIENT_P3.dat,P3,Med Packs P3,0,0,0,0
OUTPATIENT_P4.dat,P4,Med Packs P4,0,0,0,0
Heartwood_HW.dat,HW,Heatherwood,0,0,0,0
